"dataset_id";"observacao_id";"camada_id";"camada_nome";"amostra_id";"profund_sup";"profund_inf";"acidez_acetcal70_naoh";"aluminio_kcl_naoh";"calcio_kcl_eaa";"magnesio_kcl_eaa";"carbono_cromo_30min150_mohr";"ph_h2o_25_xxx";"fosforo_mehlich1_eam";"potassio_mehlich1_eeac";"sodio_mehlich1_eeac";"dsi_cilindro";"areiafina_naoh_esferas_peneira";"areia_naoh_esferas_peneira";"argila_naoh_esferas_pipeta"
"ctb0036";"ACC-12003-2008";"1";NA;"b";"0";"20";4,34;2,32;0,89;1,45;4,8;NA;0,8;0,1;0,03;NA;NA;529;309
"ctb0036";"ACC-12004-2008";"1";NA;"b";"0";"20";4,44;2,32;0,68;0,92;5,2;NA;0,94;0,2;0,1;NA;NA;532;309
"ctb0036";"ACC-12005-2008";"1";NA;"b";"0";"20";4,14;2,52;0,88;1,71;4,8;NA;1,1;0,05;0,03;NA;NA;490;343
"ctb0036";"ACC-13002-2008";"1";NA;"b";"0";"20";4,44;2,22;0,94;1,05;7,6;NA;0,96;0,1;0,03;NA;NA;574;284
"ctb0036";"ACC-13003-2008";"1";NA;"b";"0";"20";4,74;2,22;1,15;1,71;7,2;NA;2,94;0,17;0,04;NA;NA;522;328
"ctb0036";"ACC-13004-2008";"1";NA;"b";"0";"20";4,14;2,22;0,73;1,19;4,1;NA;1,41;0,17;0,04;NA;NA;555;300
"ctb0036";"ACC-13005-2008";"1";NA;"b";"0";"20";3,94;2,27;1,17;2,37;4,1;NA;1,82;0,08;0,07;NA;NA;468;380
"ctb0036";"ACC-perfil-2008";"1";"A";"c";"0";"50";4,12;1,72;0,5;0,66;6,8;NA;0,57;0,08;0,02;NA;NA;618;189
"ctb0036";"ACC-perfil-2008";"2";"B";"c";"50";"100";4,76;3,04;0,9;2,11;3,6;NA;0,01;0,05;0,03;NA;NA;420;446
"ctb0036";"ACC-perfil-2008";"3";"C";"c";"100";"150";2,42;1,9;0,3;1,19;0,6;NA;NA;0,04;0,02;NA;NA;693;119
"ctb0036";"ACC-2006-2008";"1";NA;"c";"0";"20";2,54;0,52;3,54;3,03;9;NA;8,04;0,2;0,05;NA;NA;560;253
"ctb0036";"ACC-2007-2008";"1";NA;"c";"0";"20";4,64;2,52;1,06;1,19;7,8;NA;4,67;0,25;0,11;NA;NA;599;224
"ctb0036";"ACC-3005-2008";"1";NA;"c";"0";"20";4,14;2,12;1,11;1,45;8,3;NA;2,88;0,07;0,04;NA;NA;544;301
"ctb0036";"ACC-3006-2008";"1";NA;"c";"0";"20";4,54;2,42;1,06;1,45;6,2;NA;0,97;0,12;0,05;NA;NA;550;289
"ctb0036";"ACC-3007-2008";"1";NA;"c";"0";"20";3,84;2,02;0,94;1,98;5,8;NA;0,19;0,08;0,07;NA;NA;516;311
"ctb0036";"ACC-3008-2008";"1";NA;"c";"0";"20";2,26;0,62;0,68;0,79;5,8;NA;2,35;0,08;0,03;NA;NA;755;122
"ctb0036";"ACC-4005-2008";"1";NA;"c";"0";"20";3,72;1,62;1,01;1,58;5,3;NA;10,67;0,06;0,03;NA;NA;594;257
"ctb0036";"ACC-4006-2008";"1";NA;"c";"0";"20";2,44;0,52;1,33;1,19;7,3;NA;1,54;0,08;0,03;NA;NA;693;150
"ctb0036";"ACC-4007-2008";"1";NA;"c";"0";"20";4,94;3,02;1,01;1,71;4,5;NA;0,26;0,07;0,1;NA;NA;549;264
"ctb0036";"ACC-5005-2008";"1";NA;"c";"0";"20";2,84;0,82;0,59;0,66;5,9;NA;2,22;0,08;0,03;NA;NA;721;127
"ctb0036";"ACC-5006-2008";"1";NA;"c";"0";"20";3,56;1,42;0,79;1,05;5,5;NA;1,28;0,1;0,04;NA;NA;643;191
"ctb0036";"ACC-5007-2008";"1";NA;"c";"0";"20";4,72;2,57;0,59;1,19;4,9;NA;0,27;0,07;0,15;NA;NA;554;281
"ctb0036";"ACC-6004-2008";"1";NA;"c";"0";"20";3,7;1,77;0,97;1,05;4,8;NA;0,29;0,06;0,05;NA;NA;612;265
"ctb0036";"ACC-6005-2008";"1";NA;"c";"0";"20";2,98;0,87;0,9;0,92;6,5;NA;5,41;0,08;0,03;NA;NA;678;164
"ctb0036";"ACC-6006-2008";"1";NA;"c";"0";"20";3,5;1,67;1,26;2,11;4,6;NA;1,29;0,11;0,06;NA;NA;601;208
"ctb0036";"ACC-6007-2008";"1";NA;"c";"0";"20";4,42;2,02;1,23;1,58;6,7;NA;0,75;0,27;0,07;NA;NA;507;338
"ctb0036";"ACC-7004-2008";"1";NA;"c";"0";"20";3,1;0,57;1,35;1,84;8;NA;0,68;0,14;0,19;NA;NA;630;214
"ctb0036";"ACC-7005-2008";"1";NA;"c";"0";"20";2,84;0,62;1,27;1,58;7,7;NA;1,69;0,07;0,04;NA;NA;665;167
"ctb0036";"ACC-7006-2008";"1";NA;"c";"0";"20";4,04;1,67;0,8;1,32;6,5;NA;0,61;0,2;0,21;NA;NA;592;245
"ctb0036";"ACC-7007-2008";"1";NA;"c";"0";"20";3,64;1,77;0,98;1,71;6,1;NA;1,72;0,17;0,18;NA;NA;600;202
"ctb0036";"ACC-8003-2008";"1";NA;"c";"0";"20";3,24;1,47;0,81;0,79;4,7;NA;1,01;0,05;0,08;NA;NA;643;204
"ctb0036";"ACC-8004-2008";"1";NA;"c";"0";"20";2,78;0,62;0,75;1,05;6,9;NA;1,26;0,27;0,25;NA;NA;677;164
"ctb0036";"ACC-8005-2008";"1";NA;"c";"0";"20";2,9;0,82;0,46;0,53;6,2;NA;2,02;0,17;0,6;NA;NA;675;123
"ctb0036";"ACC-8006-2008";"1";NA;"c";"0";"20";3,64;1,57;0,66;0,79;3,7;NA;0,67;0,16;0,22;NA;NA;636;183
"ctb0036";"ACC-8007-2008";"1";NA;"c";"0";"20";4,14;2,67;0,91;1,84;3,9;NA;0,3;0,16;0,04;NA;NA;568;231
"ctb0036";"ACC-9003-2008";"1";NA;"c";"0";"20";3,74;1,87;1,07;1,19;4,1;NA;0,69;0,07;0,02;NA;NA;563;289
"ctb0036";"ACC-9004-2008";"1";NA;"c";"0";"20";4,14;2,29;0,66;0,66;6,8;NA;1,33;0,04;0,03;NA;NA;608;245
"ctb0036";"ACC-9005-2008";"1";NA;"c";"0";"20";0,38;0,04;2,14;1,58;7,7;NA;7,64;0,78;0,67;NA;NA;713;152
